gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
ENSG00000141933	TPGS1	208.72708250257205	174.408749797895	170.19318451605767	60.435815314406376	71.763405904187	34.04667283908826
ENSG00000141956	PRDM15	1738.0008403047498	1715.6953759188277	1528.0118025894228	1351.4849714511454	1306.231994006019	1252.917560478448
ENSG00000141959	PFKL	14005.587235922583	13030.361618621337	13245.253527811728	6736.4037041028905	6709.188419292405	6189.685122146246
ENSG00000141965	FEM1A	262.9961239532408	250.66187761650957	264.6069219118269	95.47107056913471	104.19494511088689	118.02846584217262
ENSG00000141968	VAV1	6004.3824066573225	5615.150540004787	5751.78426503173	3897.6721470885273	4003.57001015474	3705.4128939874386
ENSG00000141971	MVB12A	321.43970705396094	310.69093568648276	325.4789368117307	186.56273423142838	180.09854750954622	175.90780966862266
ENSG00000141985	SH3GL1	2070.5726584255144	2053.1560266905685	1992.6267734580765	1310.3185465268396	1302.7818302606256	1122.4053145952762
ENSG00000141994	DUS3L	2166.587116376698	2079.114538288395	1991.3844874397112	1112.3693543376246	1074.3809903155689	1046.3677452546458
ENSG00000142002	DPP9	5463.083506033985	5141.407703344458	5570.410506350384	3765.4140585019277	3860.733231095445	3606.677542754083
ENSG00000142039	CCDC97	2257.035518794479	2079.114538288395	2088.2827968722113	1576.586486462775	1607.0862726043415	1582.0353979229678
ENSG00000142046	TMEM91	29.221791550360084	29.203325547554513	42.237724624423066	11.386457957786709	29.67140821038501	20.428003703452955
ENSG00000142065	ZFP14	107.14656901798698	66.51868596942973	43.48001064278845	94.5951891877665	97.9846503691784	102.14001851726478
ENSG00000142082	SIRT3	435.5438454887003	331.78222635971656	346.59779912394225	286.4132117074041	269.80280488977996	263.29426995561585
ENSG00000142102	PGGHG	844.6489271937415	849.330051341377	838.5430623966345	324.9519924876053	258.7622809045204	196.33581337207562
ENSG00000142149	HUNK	896.1349408777093	730.0831386888628	742.8870389824998	553.5570330247077	600.3284916984874	581.063216453773
ENSG00000142166	IFNAR1	6524.808599030402	6461.235777396436	6483.490729848941	8271.82376564136	8265.902301214	8905.474725610851
