gene_id	gene_name	status	log2FoldChange	padj	pvalue	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture
ENSG00000216775	AL109918.1	up	1.1254091012327785	0.08289598057121456	0.01921098397130512	5789.646674242398	7940.061913769258	3639.231434715537
ENSG00000283930	AL117339.5	up	1.970340387937775	0.08289598057121456	0.016519247956444664	27.298849870314953	43.794150749378595	10.803548991251306
ENSG00000280129	AL132780.5	up	1.5476194603787987	0.08289598057121456	0.031061459690994782	11.16949596813967	16.89024166299565	5.44875027328369
ENSG00000227388	AL133410.1	up	1.2202841320157645	0.08289598057121456	0.027431512915813045	39.16453068706999	55.00599098891337	23.32307038522661
ENSG00000233589	AL138789.1	up	1.0992831260501303	0.08289598057121456	0.027903860958744663	49.597342999071685	67.81075349208606	31.383932506057302
ENSG00000224072	AL139811.1	up	1.586658201977672	0.08289598057121456	0.02685994771412655	11.894782522946286	18.097635352307712	5.691929693584858
ENSG00000284977	AL160272.1	up	1.894529063653927	0.08289598057121456	0.016744583670409673	23.533451239144796	37.37893251990409	9.687969958385507
ENSG00000203325	AL445248.1	up	2.2802263211636116	0.08289598057121456	0.02259425398160119	8.061897859941505	13.700419808284805	2.423375911598208
ENSG00000229052	AL449283.1	up	2.0558844426746874	0.08289598057121456	0.029249686484515352	6.3420015563707475	10.531028363620642	2.1529747491208515
ENSG00000218426	AL590867.2	up	2.1148826391123072	0.08289598057121456	0.010766602799113007	117.41275456042763	191.09341783783705	43.732091283018214
ENSG00000280099	AL603750.1	up	1.2464803070021115	0.08289598057121456	0.03434160037398939	17.349716539864477	24.614354973366503	10.085078106362449
ENSG00000272540	AL662797.1	up	1.2468929398514075	0.08289598057121456	0.032706264638929734	30.475817627145627	43.08633074027347	17.865304514017783
ENSG00000282886	AL691447.3	up	3.2437114199081267	0.08289598057121456	0.009780989169751113	7.78150177413897	14.481398898368516	1.0816046499094265
ENSG00000248546	ANP32C	up	2.2313754906336736	0.08289598057121456	0.030396233707327268	7.055426333916919	11.957877918712986	2.1529747491208515
ENSG00000143401	ANP32E	up	1.168609938715243	0.08289598057121456	0.01900900065028989	13617.245637419772	18849.550803055175	8384.94047178437
ENSG00000247137	AP000873.2	up	1.2097336205226248	0.08289598057121456	0.021204562707615122	101.08885514228307	141.3493608193973	60.8283494651688
ENSG00000254786	AP001636.1	up	1.8910202114472376	0.08289598057121456	0.029411413530698604	9.566331001860858	15.357280279736722	3.775381723984991
ENSG00000279900	AP001767.4	up	1.6495014288936887	0.08289598057121456	0.025972827480342343	27.015572504776614	41.22976894962971	12.801376059923525
ENSG00000135931	ARMC9	up	1.4928262829482166	0.08289598057121456	0.016508841095627738	191.03891099913895	282.1483865742178	99.92943542406012
