gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
CFD (ENSG00000197766)	0.6207450127243366	0.6737510167415464	1.2515661475965076	-0.4496266810410212	-0.7362623601626054	-1.3601731358587623
MT-TG (ENSG00000210164)	-0.8934147018396923	-0.6488119211700494	-1.158061572007276	0.9766089259011369	0.8767820470917966	0.8468972220240817
SLC25A29 (ENSG00000197119)	0.8923400845314925	1.254479977876166	0.48762354398273317	-1.0407616144994887	-0.6569543379940901	-0.9367276538968125
NTNG2 (ENSG00000196358)	0.4248821427540281	0.8614764272328502	1.2588169121922739	-0.4498606776213148	-0.8295211864640807	-1.2657936180937612
NRTN (ENSG00000171119)	1.2060688929163939	0.7600348986149159	0.705886260830118	-0.6650642970969937	-0.9219663980974011	-1.0849593571670317
AC087752.1 (ENSG00000243979)	0.9483869022682647	0.6800879146375078	0.7605251794808408	-1.665829418100523	-0.2539547393739409	-0.4692158389121499
AC016571.1 (ENSG00000251405)	0.057318501496190624	-0.7583368883009773	-1.6151135185414887	0.682078951604613	0.737177082963366	0.8968758707782972
ARHGEF10L (ENSG00000074964)	0.7063918295871955	0.9538442994828816	1.0217495052350178	-0.7626850821374361	-0.7109800680793966	-1.2083204840882618
TRIM72 (ENSG00000177238)	-1.0611143514531889	-0.633964915015166	-1.0093512122725765	1.0017672001992808	0.8397924341082443	0.8628708444334042
AL445248.1 (ENSG00000203325)	-0.7140175994645762	-0.5781405939320049	-1.3310667193731938	1.102511984326273	0.8390238937247351	0.6816890347187671
LMNTD2 (ENSG00000185522)	0.7927565196310004	0.9959514269811993	0.8942333398703548	-0.9629954343407515	-1.1545043470007703	-0.5654415051410349
SNORA19 (ENSG00000207468)	1.0141515814887558	0.7708656850453737	0.7926765889236317	-1.446815448543425	-0.6554629864239777	-0.4754154204903593
GPR1-AS (ENSG00000279220)	-0.0107938775106526	-0.5892120382818772	-1.68984865250381	0.6735002447693695	0.6717569131079205	0.9445974104190503
PRSS27 (ENSG00000172382)	1.1054849265912938	0.8413280286999989	0.6821791660981175	-0.669734357495967	-1.3237307623876677	-0.6355270015057751
ABCA2 (ENSG00000107331)	0.8001764991902856	0.9968526700839181	0.9035175665903189	-0.9930928792638198	-0.6238078902695204	-1.0836459663311802
NRBP2 (ENSG00000185189)	0.8548369704526393	0.9084697142153562	0.9194708572753814	-0.8630836599237137	-0.5952411887063355	-1.2244526933133242
IL9RP3 (ENSG00000226942)	0.7468197942390801	0.8526027984987924	1.0911285983908054	-0.9046361413380051	-1.1292351306360324	-0.6566799191546434
DDIT4L (ENSG00000145358)	-0.324243064468075	-1.0193292009426989	-1.2576245578434588	0.8423448593734505	0.7848482117658065	0.9740037521149763
AC124864.2 (ENSG00000279864)	-0.44620463966122015	-0.3488835234093929	-1.6422981032070068	0.7782761267228908	0.828635877883302	0.8304742616714265
AC139149.1 (ENSG00000229848)	0.7681604907418963	1.1037557533093563	0.7730130223787813	-0.47669247953419336	-0.9940005187952448	-1.1742362681005951
AL022341.1 (ENSG00000228201)	0.5057685583692033	0.7307693032012341	1.3653058528984723	-0.6477326673236788	-0.8840993018891488	-1.0700117452560824
STAM-AS1 (ENSG00000260589)	-0.17031419241058704	-0.2302180824305073	-1.8117829131879601	0.7718490119307626	0.6869683439077583	0.7534978321905355
TGIF2P1 (ENSG00000225401)	0.9150758910916391	0.7963754102945079	0.8632563484965526	-1.389525441684618	-0.31863726693114997	-0.8665449412669313
GAA (ENSG00000171298)	0.8980057279900768	0.8362332133059744	0.9768501142342826	-1.0433534905484498	-0.6595030552822922	-1.0082325096995899
ANP32C (ENSG00000248546)	-0.6182961905524759	-0.7377987959318711	-1.2632428268390128	0.65623205589094	0.7365552263819974	1.2265505310504219
ZNF221 (ENSG00000159905)	-1.216433413313695	-0.9449315269494403	-0.5008251324113329	0.9610605558604015	0.9053832706881618	0.7957462461259035
IL11 (ENSG00000095752)	1.0413166874433852	0.7026915307401218	0.6615366025474809	-0.7941361550309434	-0.07931520989523647	-1.5320934558048083
SDC2 (ENSG00000169439)	-1.0472235392460525	-1.015041442242662	-0.6473450834056624	0.841058724205475	0.9547236337165668	0.9138277069723371
PVALB (ENSG00000100362)	0.08397622926398306	-0.635910362936895	-1.6924826985580494	0.9210142797384813	0.6544951380386967	0.6689074144537831
MAPK11 (ENSG00000185386)	0.8764002200145132	0.9968094301491465	0.7994046218938533	-0.5579097894946914	-0.8961148273240276	-1.218589655238797
AL355001.2 (ENSG00000275964)	1.4047706811818212	0.45305989346164305	0.6828453656704154	-0.5560290273890084	-1.1878973670699697	-0.7967495458549009
