gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_coculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000119725	ZNF410	23.247260207666802	26.845912751516952	19.296136924880063	0.466106291048666	0.014919708167753185	1.6365200876399464	0.10173078508928664	0.33278389545309645	0.06495904533037923	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000147912	FBXO10	145.03671092209345	209.15952265494306	129.72470249097194	0.6870452171896767	0.12085059392028127	1.6361626383726084	0.1018055535068451	0.33293753280310956	0.0062562600185000735	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000278916	CEP83-DT	21.61347783459315	17.42416367871593	32.515405826890124	-0.8812335737612973	0.16603274832963166	-1.63611441715135	0.10181564338951292	0.33293753280310956	0.0371261414499601	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000129932	DOHH	1103.2814650716832	1095.3474816791447	754.0196682856708	0.5384166067441644	0.07696486611129956	1.6357203128683524	0.10189813622092328	0.3331452926158669	0.003386903063655862	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000111859	NEDD9	658.088874819793	409.4699005345833	644.7080177662502	-0.6542463736581912	0.11335531558998241	-1.6353242488044084	0.10198109286149554	0.3332907655648934	0.004249815069917971	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000230943	LINC02541	59.42408172302643	53.61582384333928	77.38465136206872	-0.5252885362523402	0.05870407911851573	-1.6352711368032233	0.1019922213938118	0.3332907655648934	0.04983809417991008	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000144214	LYG1	49.4573435234784	65.41061605355121	43.47732431490249	0.5837510252693717	0.07289981538039525	1.6351083510346258	0.1020263358398876	0.3332907655648934	0.09421809114702547	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000114738	MAPKAPK3	1080.2373138743444	1092.146257447829	940.7204272182438	0.21522186960138295	0.011497582150000792	1.6350786968727675	0.10203255133703426	0.3332907655648934	0.010475039426790948	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000114744	COMMD2	1482.488423604334	1433.9159593780976	1773.0872425067967	-0.3062068530847785	0.02464544006817417	-1.6350552693646525	0.10203746194384147	0.3332907655648934	0.00489568170622455	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000242612	DECR2	159.4288012807525	160.44458347248576	99.5585182247584	0.6857200316847855	0.11870772449520839	1.63470230999065	0.1021114680266594	0.3334623004021851	0.006971804431371397	HUVEC_MM1S_vs_MM1S_coculture	not_significant
