gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_monoculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000273729	AC007686.3	26.664492705928534	15.984439540717483	31.571798311828914	-0.9602004128007642	0.08819009732438231	-2.2258687872871987	0.026022971608984993	0.08567303674164628	0.027116672159547172	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000168291	PDHB	1592.7339151939093	1671.19863050148	1409.740582357492	0.24537348293483047	0.008104360303127578	2.2258509605048378	0.02602416605741239	0.08567303674164628	0.030427983605721857	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000094975	SUCO	1722.0796651280425	1824.1795465498874	1442.1393168270968	0.338932469776306	0.01609177419460396	2.2256921362046125	0.026034809859083075	0.08567847094079437	0.008097483430954105	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000188321	ZNF559	419.8429964701488	453.0051322153998	317.80429259734683	0.5107122644568586	0.03527475916454186	2.225626700254976	0.026039196222571042	0.08567847094079437	0.006791496107722834	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000072110	ACTN1	22.577712026476405	39.55855806995862	11.897785476690254	1.6920280456316332	0.3637315570455153	2.225608095340152	0.026040443481180377	0.08567847094079437	0.013510987589231577	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000178404	CEP295NL	44.70946185884241	54.315592789402935	36.99381796843557	0.5479335974714342	0.021229447606822376	2.2254894347405156	0.0260483996080805	0.0856886047010106	0.044089664632076385	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000136936	XPA	612.6106357135113	650.4977669191671	493.2541381610465	0.3988597551270105	0.021376355411214076	2.225100478304455	0.026074493654930933	0.08575838985553084	7.062808357742179e-05	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000112425	EPM2A	118.76207867363671	100.55948862967853	142.18555720221434	-0.4976345260194434	0.027599997401243043	-2.224939442471388	0.026085303730749992	0.08576444695921043	0.045723423199554594	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000280213	UCKL1-AS1	85.93154608495398	66.75784491257224	103.0382262768149	-0.6223890509422079	0.044130968764251446	-2.2249276390614043	0.026086096226994808	0.08576444695921043	0.010399333052996715	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000176472	ZNF575	63.92710019096265	50.39141487424015	87.87039761365804	-0.7961408739774456	0.07681946216242473	-2.2246143682402266	0.026107137243800628	0.0858172718570908	0.009053706535062524	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000174136	RGMB	130.63633839264503	113.31272662775605	159.38095664726458	-0.49033622031043195	0.027494038011292736	-2.2245430357357074	0.02611193038296617	0.0858172718570908	0.005765749236078882	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000213347	MXD3	873.5914131333617	649.4247540501893	1332.5566057339213	-1.0363934401702757	0.15530076834064804	-2.2244091446164926	0.02612092915960347	0.08582704740406735	6.548170973972168e-05	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000006747	SCIN	43.74387175231404	60.86869561710767	33.0817514819258	0.8698254424233001	0.08717853456733954	2.2242456336578385	0.026131922311215815	0.08582704740406735	0.032112959741658655	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000163235	TGFA	674.2927989615779	715.1168865561299	552.7499130640961	0.37125611203173603	0.01847678391739497	2.2241862342505407	0.026135916836064605	0.08582704740406735	0.0017776402851570584	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000171604	CXXC5	940.8845188922145	767.086618452775	1299.7840348789287	-0.760425334940884	0.08320619902558282	-2.224144593213881	0.026138717450664414	0.08582704740406735	0.0001366666517188354	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000156711	MAPK13	2862.1967906949367	2625.5303301737326	3400.395326390719	-0.37303102390636145	0.019935746617866474	-2.2241047175213216	0.026141399578198356	0.08582704740406735	7.057418957998975e-06	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000229043	AC091729.3	74.52691606431009	57.15767808418136	102.82618234880364	-0.8416212276319099	0.08968948596267258	-2.2240629531154776	0.02614420899982772	0.08582704740406735	0.03728559664683825	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000188372	ZP3	84.0717361373227	41.44040204031885	168.17277286823352	-2.007814516543365	0.5725457912306365	-2.2239035999384518	0.026154930818810356	0.08584620830761196	0.002725580189378507	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000176393	RNPEP	1874.0020467337697	1529.5676644077075	2589.340993130732	-0.7592680695297025	0.08350524719427914	-2.223625921581017	0.026173623036308234	0.0858628626203172	0.00039879909162264635	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000165934	CPSF2	2864.2566853830813	3061.514231827026	2195.368661708426	0.4796892211962872	0.033147210843653685	2.2236230122545924	0.02617381894185262	0.0858628626203172	0.007063338498698231	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000248973	AC106799.2	26.844167373858742	17.787125410024334	39.6581444318392	-1.1348642961320137	0.14793378537473514	-2.223579078119956	0.026176777492244445	0.0858628626203172	0.05640861626898068	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000267348	GEMIN7-AS1	38.153235596711724	29.368164141646247	43.251398490040934	-0.5507205680963015	0.016041070918108535	-2.2235379226159435	0.02617954919021565	0.0858628626203172	0.009472841978651001	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000272888	LINC01578	1465.4908564359503	1640.5405717688893	1359.574224331221	0.2709255204439545	0.010028061729430805	2.223420160753118	0.02618748149471718	0.0858728517086518	0.023896048595383964	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000115042	FAHD2A	656.3193907558182	547.2832270583754	876.553554022224	-0.6790598463076891	0.06575958136653064	-2.223091834547435	0.026209608143142306	0.08591920866075653	0.0010391986486232734	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000116133	DHCR24	2138.6324894843874	2313.0388935597252	2032.0002662458428	0.1868458113782814	0.004628894583425881	2.2230653026303004	0.026211396894685924	0.08591920866075653	0.03428786560344672	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
ENSG00000198752	CDC42BPB	591.7935972174348	564.2564961320472	643.9432818196955	-0.19042443059015526	0.0036274231609891186	-2.2229127288639114	0.026221685291756246	0.08593690332563084	0.00417166664008356	HUVEC_MM1S_vs_MM1S_monoculture	not_significant
