gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3	HUVEC-MM1S-1	HUVEC-MM1S-2	HUVEC-MM1S-3
ENSG00000196312	MFSD14C	3209.2031561016756	3363.2572002012403	3370.148854315948	4213.313007360993	4075.301452935709	4222.221798740347	2677.8331692712986	2795.858874552758	2965.075378390669
ENSG00000196313	POM121	3920.733901445396	3872.5127845598977	3838.8529307721724	3327.2298044947806	3168.5056316671	2866.9005377208937	3973.994434397574	4033.055243227959	4058.3733059229453
ENSG00000196323	ZBTB44	3455.2464979495044	3743.84242382392	3455.800360673431	3821.181219577845	3951.227497769408	4180.987044602045	3184.5962194560857	2954.6708307802164	2849.4278013353446
ENSG00000196338	NLGN3	58.518416439483524	78.28738815863684	90.40992337734276	39.549772587570736	46.85771711067779	45.575254573912765	40.50503953519611	40.98373063934414	48.18649043971835
ENSG00000196352	CD55	626.4130487044713	644.1269263349229	623.352629601679	568.0020531193669	548.4332805489189	602.2444354409902	469.85845860827493	522.5425656516378	495.78544607976875
ENSG00000196357	ZNF565	103.73719277908442	99.99082249964508	70.18665104293714	87.5143904065395	85.13585221517515	118.27863687039266	102.61276682249682	73.00227020133175	139.205416825853
ENSG00000196358	NTNG2	29.259208219741762	44.18199133705247	64.23862976811196	12.622267847097044	8.579582006180441	5.425625544513425	23.402911731446643	12.807415824795044	24.628650669189376
ENSG00000196363	WDR5	3491.1555262191873	3382.63526657714	3404.647377709934	2909.0119964942987	2857.660775904716	2933.0931693639573	2678.7332812609698	2678.0306489646437	2652.3985959818297
ENSG00000196365	LONP1	8914.748758951318	8252.73090816838	8172.5812316098	5290.413196979941	5203.186502825123	5101.173136951522	8367.441055981846	8388.857365240754	8687.488820831888
ENSG00000196366	C9orf163	17.289532129847405	9.3014718604321	11.896042549650364	3.3659380925592117	3.959807079775588	3.2553753267080547	1.8002239793420494	1.2807415824795043	3.212432695981223
ENSG00000196367	TRRAP	10969.543154383184	10640.108685679286	10962.20320950281	8150.619091132131	7952.612551882639	8259.972328967238	9001.119896710246	9596.596677518926	9525.933754482987
ENSG00000196368	NUDT11	486.7668276557038	531.7341413547017	524.615476439581	538.5500948094739	530.6141486899288	526.2856778178021	539.1670818129438	575.0529705332974	563.2465326953744
ENSG00000196369	SRGAP2B	410.9588790863729	344.15445883598767	374.72534031398646	546.123455517732	555.0329590152116	631.5428133813626	477.05935452564313	495.64699241956816	494.71463518110835
ENSG00000196371	FUT4	180.8751053584036	196.1060317241101	277.1777914068535	132.95455465608885	118.79421239326764	143.2365143751544	84.61052702907632	71.72152861885225	69.6027084129265
ENSG00000196372	ASB13	344.46067858695983	265.86707067735085	298.59066799622417	117.8078332395724	101.63504838090677	94.4058844745336	76.5095191220371	116.5474840056349	85.66487189283261
ENSG00000196376	SLC35F1	262.0029099676876	227.11093792555045	179.6302424997205	183.44362604447704	146.51286195169675	146.49188970186245	210.62620558301978	262.5520244082984	221.65785602270438
ENSG00000196378	ZNF34	83.78773262926049	81.38787877878087	82.08269359258752	100.13665825363654	92.39549852809705	84.63975849440942	92.71153493611554	90.93265235604481	97.4437917780971
ENSG00000196387	ZNF140	167.57546525852098	185.25431455360598	180.81984675468553	215.42003792378955	231.6487141668719	227.87627286956382	206.12564563466466	210.04161952663873	193.8167726575338
ENSG00000196388	INCA1	151.61589713866184	150.3737950769856	116.58121698657357	94.24626659165793	91.07556283483852	88.98025893002016	36.004479586840986	30.737797979508105	37.47838145311427
